REF_DATE,GEO,Finfish and shellfish,Production,SCALAR_FACTOR,VALUE,STATUS
1998,Prince Edward Island,Total finfish,Tonnes,units,99,
1998,Prince Edward Island,Total finfish,Dollars,thousands,882,
1998,Prince Edward Island,Total shellfish,Tonnes,units,14433,
1998,Prince Edward Island,Total shellfish,Dollars,thousands,19557,
1998,Nova Scotia,Total aquaculture,Tonnes,units,4066,
1998,Nova Scotia,Total aquaculture,Dollars,thousands,19437,
1998,Nova Scotia,Total finfish,Tonnes,units,2823,
1998,Nova Scotia,Total finfish,Dollars,thousands,16635,
1998,Nova Scotia,Total shellfish,Tonnes,units,1243,
1998,Nova Scotia,Total shellfish,Dollars,thousands,2802,
1998,New Brunswick,Total aquaculture,Tonnes,units,15748,
1998,New Brunswick,Total aquaculture,Dollars,thousands,115021,
1998,New Brunswick,Total finfish,Tonnes,units,14782,
1998,New Brunswick,Total finfish,Dollars,thousands,112778,
1998,New Brunswick,Total shellfish,Tonnes,units,966,
1998,New Brunswick,Total shellfish,Dollars,thousands,2243,
1998,Quebec,Total aquaculture,Tonnes,units,1013,
1998,Quebec,Total aquaculture,Dollars,thousands,4565,
1998,Quebec,Total finfish,Tonnes,units,895,
1998,Quebec,Total finfish,Dollars,thousands,4391,
1998,Quebec,Total shellfish,Tonnes,units,118,
1998,Quebec,Total shellfish,Dollars,thousands,174,
1998,Ontario,Total aquaculture,Tonnes,units,3580,
1998,Ontario,Total aquaculture,Dollars,thousands,14200,
1998,Ontario,Total finfish,Tonnes,units,3580,
1998,Ontario,Total finfish,Dollars,thousands,14200,
1998,Ontario,Total shellfish,Tonnes,units,0,
1998,Ontario,Total shellfish,Dollars,thousands,0,
1998,Manitoba,Total aquaculture,Tonnes,units,14,
1998,Manitoba,Total aquaculture,Dollars,thousands,62,
1998,Manitoba,Total finfish,Tonnes,units,14,
1998,Manitoba,Total finfish,Dollars,thousands,62,
1998,Manitoba,Total shellfish,Tonnes,units,0,
1998,Manitoba,Total shellfish,Dollars,thousands,0,
1998,Saskatchewan,Total aquaculture,Tonnes,units,875,
1998,Saskatchewan,Total aquaculture,Dollars,thousands,3859,
1998,Saskatchewan,Total finfish,Tonnes,units,875,
1998,Saskatchewan,Total finfish,Dollars,thousands,3859,
1998,Saskatchewan,Total shellfish,Tonnes,units,0,
1998,Saskatchewan,Total shellfish,Dollars,thousands,0,
1998,Alberta,Total aquaculture,Tonnes,units,,x
1998,Alberta,Total aquaculture,Dollars,thousands,,x
1998,Alberta,Total finfish,Tonnes,units,,x
1998,Alberta,Total finfish,Dollars,thousands,,x
1998,Alberta,Total shellfish,Tonnes,units,0,
1998,Alberta,Total shellfish,Dollars,thousands,0,
1998,British Columbia,Total aquaculture,Tonnes,units,48483,
1998,British Columbia,Total aquaculture,Dollars,thousands,237831,
1998,British Columbia,Total finfish,Tonnes,units,42260,
1998,British Columbia,Total finfish,Dollars,thousands,229200,
1998,British Columbia,Total shellfish,Tonnes,units,6223,
1998,British Columbia,Total shellfish,Dollars,thousands,8631,
1999,Canada,Total aquaculture,Tonnes,units,113253,
1999,Canada,Total aquaculture,Dollars,thousands,558365,
1999,Canada,Total finfish,Tonnes,units,86172,
1999,Canada,Total finfish,Dollars,thousands,517352,
1999,Canada,Total shellfish,Tonnes,units,27081,
1999,Canada,Total shellfish,Dollars,thousands,41013,
1999,Newfoundland and Labrador,Total aquaculture,Tonnes,units,4187,
1999,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,17744,
1999,Newfoundland and Labrador,Total finfish,Tonnes,units,2487,
1999,Newfoundland and Labrador,Total finfish,Dollars,thousands,13944,
1999,Newfoundland and Labrador,Total shellfish,Tonnes,units,1700,
1999,Newfoundland and Labrador,Total shellfish,Dollars,thousands,3800,
1999,Prince Edward Island,Total aquaculture,Tonnes,units,16395,
1999,Prince Edward Island,Total aquaculture,Dollars,thousands,22706,
1999,Prince Edward Island,Total finfish,Tonnes,units,82,
1999,Prince Edward Island,Total finfish,Dollars,thousands,786,
1999,Prince Edward Island,Total shellfish,Tonnes,units,16313,
1999,Prince Edward Island,Total shellfish,Dollars,thousands,21920,
1999,Nova Scotia,Total aquaculture,Tonnes,units,6477,
1999,Nova Scotia,Total aquaculture,Dollars,thousands,27883,
1999,Nova Scotia,Total finfish,Tonnes,units,4715,
1999,Nova Scotia,Total finfish,Dollars,thousands,24374,
1999,Nova Scotia,Total shellfish,Tonnes,units,1762,
1999,Nova Scotia,Total shellfish,Dollars,thousands,3509,
1999,New Brunswick,Total aquaculture,Tonnes,units,23501,
1999,New Brunswick,Total aquaculture,Dollars,thousands,157686,
1999,New Brunswick,Total finfish,Tonnes,units,22550,
1999,New Brunswick,Total finfish,Dollars,thousands,156100,
1999,New Brunswick,Total shellfish,Tonnes,units,951,
1999,New Brunswick,Total shellfish,Dollars,thousands,1586,
1999,Quebec,Total aquaculture,Tonnes,units,1407,
1999,Quebec,Total aquaculture,Dollars,thousands,6404,
1999,Quebec,Total finfish,Tonnes,units,1185,
1999,Quebec,Total finfish,Dollars,thousands,6121,
1999,Quebec,Total shellfish,Tonnes,units,222,
1999,Quebec,Total shellfish,Dollars,thousands,283,
1999,Ontario,Total aquaculture,Tonnes,units,3850,
1999,Ontario,Total aquaculture,Dollars,thousands,15500,
1999,Ontario,Total finfish,Tonnes,units,3850,
1999,Ontario,Total finfish,Dollars,thousands,15500,
1999,Ontario,Total shellfish,Tonnes,units,0,
1999,Ontario,Total shellfish,Dollars,thousands,0,
1999,Manitoba,Total aquaculture,Tonnes,units,4,
1999,Manitoba,Total aquaculture,Dollars,thousands,16,
1999,Manitoba,Total finfish,Tonnes,units,4,
1999,Manitoba,Total finfish,Dollars,thousands,16,
1999,Manitoba,Total shellfish,Tonnes,units,0,
1999,Manitoba,Total shellfish,Dollars,thousands,0,
1999,Saskatchewan,Total aquaculture,Tonnes,units,875,
1999,Saskatchewan,Total aquaculture,Dollars,thousands,3859,
1999,Saskatchewan,Total finfish,Tonnes,units,875,
1999,Saskatchewan,Total finfish,Dollars,thousands,3859,
1999,Saskatchewan,Total shellfish,Tonnes,units,0,
1999,Saskatchewan,Total shellfish,Dollars,thousands,0,
1999,Alberta,Total aquaculture,Tonnes,units,,x
1999,Alberta,Total aquaculture,Dollars,thousands,,x
1999,Alberta,Total finfish,Tonnes,units,,x
1999,Alberta,Total finfish,Dollars,thousands,,x
1999,Alberta,Total shellfish,Tonnes,units,0,
1999,Alberta,Total shellfish,Dollars,thousands,0,
1999,British Columbia,Total aquaculture,Tonnes,units,55933,
1999,British Columbia,Total aquaculture,Dollars,thousands,300915,
1999,British Columbia,Total finfish,Tonnes,units,49800,
1999,British Columbia,Total finfish,Dollars,thousands,291000,
1999,British Columbia,Total shellfish,Tonnes,units,6133,
1999,British Columbia,Total shellfish,Dollars,thousands,9915,
2000,Canada,Total aquaculture,Tonnes,units,127336,
2000,Canada,Total aquaculture,Dollars,thousands,601326,
2000,Canada,Total finfish,Tonnes,units,95003,
2000,Canada,Total finfish,Dollars,thousands,548843,
2000,Canada,Total shellfish,Tonnes,units,32333,
2000,Canada,Total shellfish,Dollars,thousands,52483,
2000,Newfoundland and Labrador,Total aquaculture,Tonnes,units,2563,
2000,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,13156,
2000,Newfoundland and Labrador,Total finfish,Tonnes,units,1512,
2000,Newfoundland and Labrador,Total finfish,Dollars,thousands,10456,
2000,Newfoundland and Labrador,Total shellfish,Tonnes,units,1051,
2000,Newfoundland and Labrador,Total shellfish,Dollars,thousands,2700,
2000,Prince Edward Island,Total aquaculture,Tonnes,units,20702,
2000,Prince Edward Island,Total aquaculture,Dollars,thousands,28760,
2000,Prince Edward Island,Total finfish,Tonnes,units,76,
2000,Prince Edward Island,Total finfish,Dollars,thousands,733,
2000,Prince Edward Island,Total shellfish,Tonnes,units,20626,
2000,Prince Edward Island,Total shellfish,Dollars,thousands,28027,
2000,Nova Scotia,Total aquaculture,Tonnes,units,10456,
2000,Nova Scotia,Total aquaculture,Dollars,thousands,43476,
2000,Nova Scotia,Total finfish,Tonnes,units,8106,
2000,Nova Scotia,Total finfish,Dollars,thousands,38288,
2000,Nova Scotia,Total shellfish,Tonnes,units,2350,
2000,Nova Scotia,Total shellfish,Dollars,thousands,5188,
2000,New Brunswick,Total aquaculture,Tonnes,units,31020,
2000,New Brunswick,Total aquaculture,Dollars,thousands,190125,
2000,New Brunswick,Total finfish,Tonnes,units,29650,
2000,New Brunswick,Total finfish,Dollars,thousands,187600,
2000,New Brunswick,Total shellfish,Tonnes,units,1370,
2000,New Brunswick,Total shellfish,Dollars,thousands,2525,
2000,Quebec,Total aquaculture,Tonnes,units,1354,
2000,Quebec,Total aquaculture,Dollars,thousands,5912,
2000,Quebec,Total finfish,Tonnes,units,982,
2000,Quebec,Total finfish,Dollars,thousands,5414,
2000,Quebec,Total shellfish,Tonnes,units,372,
2000,Quebec,Total shellfish,Dollars,thousands,498,
2000,Ontario,Total aquaculture,Tonnes,units,4000,
2000,Ontario,Total aquaculture,Dollars,thousands,16500,
2000,Ontario,Total finfish,Tonnes,units,4000,
2000,Ontario,Total finfish,Dollars,thousands,16500,
2000,Ontario,Total shellfish,Tonnes,units,0,
2000,Ontario,Total shellfish,Dollars,thousands,0,
2000,Manitoba,Total aquaculture,Tonnes,units,7,
2000,Manitoba,Total aquaculture,Dollars,thousands,27,
2000,Manitoba,Total finfish,Tonnes,units,7,
2000,Manitoba,Total finfish,Dollars,thousands,27,
2000,Manitoba,Total shellfish,Tonnes,units,0,
2000,Manitoba,Total shellfish,Dollars,thousands,0,
2000,Saskatchewan,Total aquaculture,Tonnes,units,875,
2000,Saskatchewan,Total aquaculture,Dollars,thousands,3859,
2000,Saskatchewan,Total finfish,Tonnes,units,875,
2000,Saskatchewan,Total finfish,Dollars,thousands,3859,
2000,Saskatchewan,Total shellfish,Tonnes,units,0,
2000,Saskatchewan,Total shellfish,Dollars,thousands,0,
2000,Alberta,Total aquaculture,Tonnes,units,,x
2000,Alberta,Total aquaculture,Dollars,thousands,,x
2000,Alberta,Total finfish,Tonnes,units,,x
2000,Alberta,Total finfish,Dollars,thousands,,x
2000,Alberta,Total shellfish,Tonnes,units,0,
2000,Alberta,Total shellfish,Dollars,thousands,0,
2000,British Columbia,Total aquaculture,Tonnes,units,55664,
2000,British Columbia,Total aquaculture,Dollars,thousands,292445,
2000,British Columbia,Total finfish,Tonnes,units,49100,
2000,British Columbia,Total finfish,Dollars,thousands,278900,
2000,British Columbia,Total shellfish,Tonnes,units,6564,
2000,British Columbia,Total shellfish,Dollars,thousands,13545,
2001,Canada,Total aquaculture,Tonnes,units,153112,
2001,Canada,Total aquaculture,Dollars,thousands,597403,
2001,Canada,Total finfish,Tonnes,units,118122,
2001,Canada,Total finfish,Dollars,thousands,538232,
2001,Canada,Total shellfish,Tonnes,units,34916,
2001,Canada,Total shellfish,Dollars,thousands,59171,
2001,Newfoundland and Labrador,Total aquaculture,Tonnes,units,4470,
2001,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,19406,
2001,Newfoundland and Labrador,Total finfish,Tonnes,units,3018,
2001,Newfoundland and Labrador,Total finfish,Dollars,thousands,15477,
2001,Newfoundland and Labrador,Total shellfish,Tonnes,units,1452,
2001,Newfoundland and Labrador,Total shellfish,Dollars,thousands,3929,
2001,Prince Edward Island,Total aquaculture,Tonnes,units,20338,
2001,Prince Edward Island,Total aquaculture,Dollars,thousands,30244,
2001,Prince Edward Island,Total finfish,Tonnes,units,88,
2001,Prince Edward Island,Total finfish,Dollars,thousands,811,
2001,Prince Edward Island,Total shellfish,Tonnes,units,20250,
2001,Prince Edward Island,Total shellfish,Dollars,thousands,29433,
2001,Nova Scotia,Total aquaculture,Tonnes,units,8351,
2001,Nova Scotia,Total aquaculture,Dollars,thousands,36152,
2001,Nova Scotia,Total finfish,Tonnes,units,5866,
2001,Nova Scotia,Total finfish,Dollars,thousands,29661,
2001,Nova Scotia,Total shellfish,Tonnes,units,2485,
2001,Nova Scotia,Total shellfish,Dollars,thousands,6491,
2001,New Brunswick,Total aquaculture,Tonnes,units,35633,
2001,New Brunswick,Total aquaculture,Dollars,thousands,187434,
2001,New Brunswick,Total finfish,Tonnes,units,34450,
2001,New Brunswick,Total finfish,Dollars,thousands,186110,
2001,New Brunswick,Total shellfish,Tonnes,units,1183,
2001,New Brunswick,Total shellfish,Dollars,thousands,1324,
2001,Quebec,Total aquaculture,Tonnes,units,1362,
2001,Quebec,Total aquaculture,Dollars,thousands,4841,
2001,Quebec,Total finfish,Tonnes,units,723,
2001,Quebec,Total finfish,Dollars,thousands,3931,
2001,Quebec,Total shellfish,Tonnes,units,639,
2001,Quebec,Total shellfish,Dollars,thousands,910,
2001,Ontario,Total aquaculture,Tonnes,units,4335,
2001,Ontario,Total aquaculture,Dollars,thousands,17900,
2001,Ontario,Total finfish,Tonnes,units,4335,
2001,Ontario,Total finfish,Dollars,thousands,17900,
2001,Ontario,Total shellfish,Tonnes,units,0,
2001,Ontario,Total shellfish,Dollars,thousands,0,
2001,Manitoba,Total aquaculture,Tonnes,units,16,
2001,Manitoba,Total aquaculture,Dollars,thousands,171,
2001,Manitoba,Total finfish,Tonnes,units,16,
2001,Manitoba,Total finfish,Dollars,thousands,171,
2001,Manitoba,Total shellfish,Tonnes,units,0,
2001,Manitoba,Total shellfish,Dollars,thousands,0,
2001,Saskatchewan,Total aquaculture,Tonnes,units,989,
2001,Saskatchewan,Total aquaculture,Dollars,thousands,4971,
2001,Saskatchewan,Total finfish,Tonnes,units,989,
2001,Saskatchewan,Total finfish,Dollars,thousands,4971,
2001,Saskatchewan,Total shellfish,Tonnes,units,0,
2001,Saskatchewan,Total shellfish,Dollars,thousands,0,
2001,Alberta,Total aquaculture,Tonnes,units,,x
2001,Alberta,Total aquaculture,Dollars,thousands,,x
2001,Alberta,Total finfish,Tonnes,units,,x
2001,Alberta,Total finfish,Dollars,thousands,,x
2001,Alberta,Total shellfish,Tonnes,units,,x
2001,Alberta,Total shellfish,Dollars,thousands,,x
2001,British Columbia,Total aquaculture,Tonnes,units,77007,
2001,British Columbia,Total aquaculture,Dollars,thousands,288484,
2001,British Columbia,Total finfish,Tonnes,units,68100,
2001,British Columbia,Total finfish,Dollars,thousands,271400,
2001,British Columbia,Total shellfish,Tonnes,units,8907,
2001,British Columbia,Total shellfish,Dollars,thousands,17084,
2002,Canada,Total aquaculture,Tonnes,units,170668,
2002,Canada,Total aquaculture,Dollars,thousands,621789,
2002,Canada,Total finfish,Tonnes,units,136348,
2002,Canada,Total finfish,Dollars,thousands,563871,
2002,Canada,Total shellfish,Tonnes,units,34301,
2002,Canada,Total shellfish,Dollars,thousands,57918,
2002,Newfoundland and Labrador,Total aquaculture,Tonnes,units,4797,
2002,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,21332,
2002,Newfoundland and Labrador,Total finfish,Tonnes,units,3097,
2002,Newfoundland and Labrador,Total finfish,Dollars,thousands,15832,
2002,Newfoundland and Labrador,Total shellfish,Tonnes,units,1700,
2002,Newfoundland and Labrador,Total shellfish,Dollars,thousands,5500,
2002,Prince Edward Island,Total aquaculture,Tonnes,units,19554,
2002,Prince Edward Island,Total aquaculture,Dollars,thousands,28821,
2002,Prince Edward Island,Total finfish,Tonnes,units,33,
2002,Prince Edward Island,Total finfish,Dollars,thousands,892,
2002,Prince Edward Island,Total shellfish,Tonnes,units,19521,
2002,Prince Edward Island,Total shellfish,Dollars,thousands,27929,
2002,Nova Scotia,Total aquaculture,Tonnes,units,4605,
2002,Nova Scotia,Total aquaculture,Dollars,thousands,28221,
2002,Nova Scotia,Total finfish,Tonnes,units,2772,
2002,Nova Scotia,Total finfish,Dollars,thousands,21319,
2002,Nova Scotia,Total shellfish,Tonnes,units,1833,
2002,Nova Scotia,Total shellfish,Dollars,thousands,6902,
2002,New Brunswick,Total aquaculture,Tonnes,units,41322,
2002,New Brunswick,Total aquaculture,Dollars,thousands,202574,
2002,New Brunswick,Total finfish,Tonnes,units,39450,
2002,New Brunswick,Total finfish,Dollars,thousands,200600,
2002,New Brunswick,Total shellfish,Tonnes,units,1872,
2002,New Brunswick,Total shellfish,Dollars,thousands,1974,
2002,Quebec,Total aquaculture,Tonnes,units,1184,
2002,Quebec,Total aquaculture,Dollars,thousands,4106,
2002,Quebec,Total finfish,Tonnes,units,603,
2002,Quebec,Total finfish,Dollars,thousands,3273,
2002,Quebec,Total shellfish,Tonnes,units,581,
2002,Quebec,Total shellfish,Dollars,thousands,833,
2002,Ontario,Total aquaculture,Tonnes,units,4535,
2002,Ontario,Total aquaculture,Dollars,thousands,19700,
2002,Ontario,Total finfish,Tonnes,units,4535,
2002,Ontario,Total finfish,Dollars,thousands,19700,
2002,Ontario,Total shellfish,Tonnes,units,0,
2002,Ontario,Total shellfish,Dollars,thousands,0,
2002,Manitoba,Total aquaculture,Tonnes,units,63,
2002,Manitoba,Total aquaculture,Dollars,thousands,248,
2002,Manitoba,Total finfish,Tonnes,units,63,
2002,Manitoba,Total finfish,Dollars,thousands,248,
2002,Manitoba,Total shellfish,Tonnes,units,0,
2002,Manitoba,Total shellfish,Dollars,thousands,0,
2002,Saskatchewan,Total aquaculture,Tonnes,units,914,
2002,Saskatchewan,Total aquaculture,Dollars,thousands,4607,
2002,Saskatchewan,Total finfish,Tonnes,units,914,
2002,Saskatchewan,Total finfish,Dollars,thousands,4607,
2002,Saskatchewan,Total shellfish,Tonnes,units,0,
2002,Saskatchewan,Total shellfish,Dollars,thousands,0,
2002,Alberta,Total aquaculture,Tonnes,units,,x
2002,Alberta,Total aquaculture,Dollars,thousands,,x
2002,Alberta,Total finfish,Tonnes,units,,x
2002,Alberta,Total finfish,Dollars,thousands,,x
2002,Alberta,Total shellfish,Tonnes,units,,x
2002,Alberta,Total shellfish,Dollars,thousands,,x
2002,British Columbia,Total aquaculture,Tonnes,units,93094,
2002,British Columbia,Total aquaculture,Dollars,thousands,304380,
2002,British Columbia,Total finfish,Tonnes,units,84300,
2002,British Columbia,Total finfish,Dollars,thousands,289600,
2002,British Columbia,Total shellfish,Tonnes,units,8794,
2002,British Columbia,Total shellfish,Dollars,thousands,14780,
2003,Canada,Total aquaculture,Tonnes,units,150484,
2003,Canada,Total aquaculture,Dollars,thousands,586349,
2003,Canada,Total finfish,Tonnes,units,114062,
2003,Canada,Total finfish,Dollars,thousands,526124,
2003,Canada,Total shellfish,Tonnes,units,36412,
2003,Canada,Total shellfish,Dollars,thousands,60225,
2003,Newfoundland and Labrador,Total aquaculture,Tonnes,units,3910,
2003,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,17224,
2003,Newfoundland and Labrador,Total finfish,Tonnes,units,2610,
2003,Newfoundland and Labrador,Total finfish,Dollars,thousands,13024,
2003,Newfoundland and Labrador,Total shellfish,Tonnes,units,1300,
2003,Newfoundland and Labrador,Total shellfish,Dollars,thousands,4200,
2003,Prince Edward Island,Total aquaculture,Tonnes,units,19886,
2003,Prince Edward Island,Total aquaculture,Dollars,thousands,31880,
2003,Prince Edward Island,Total finfish,Tonnes,units,24,
2003,Prince Edward Island,Total finfish,Dollars,thousands,852,
2003,Prince Edward Island,Total shellfish,Tonnes,units,19862,
2003,Prince Edward Island,Total shellfish,Dollars,thousands,31028,
2003,Nova Scotia,Total aquaculture,Tonnes,units,7890,
2003,Nova Scotia,Total aquaculture,Dollars,thousands,39964,
2003,Nova Scotia,Total finfish,Tonnes,units,5664,
2003,Nova Scotia,Total finfish,Dollars,thousands,36202,
2003,Nova Scotia,Total shellfish,Tonnes,units,2226,
2003,Nova Scotia,Total shellfish,Dollars,thousands,3762,
2003,New Brunswick,Total aquaculture,Tonnes,units,36453,
2003,New Brunswick,Total aquaculture,Dollars,thousands,188200,
2003,New Brunswick,Total finfish,Tonnes,units,33650,
2003,New Brunswick,Total finfish,Dollars,thousands,185100,
2003,New Brunswick,Total shellfish,Tonnes,units,2803,
2003,New Brunswick,Total shellfish,Dollars,thousands,3100,
2003,Quebec,Total aquaculture,Tonnes,units,999,
2003,Quebec,Total aquaculture,Dollars,thousands,2980,
2003,Quebec,Total finfish,Tonnes,units,357,
2003,Quebec,Total finfish,Dollars,thousands,1978,
2003,Quebec,Total shellfish,Tonnes,units,642,
2003,Quebec,Total shellfish,Dollars,thousands,1002,
2003,Ontario,Total aquaculture,Tonnes,units,4485,
2003,Ontario,Total aquaculture,Dollars,thousands,17900,
2003,Ontario,Total finfish,Tonnes,units,4485,
2003,Ontario,Total finfish,Dollars,thousands,17900,
2003,Ontario,Total shellfish,Tonnes,units,0,
2003,Ontario,Total shellfish,Dollars,thousands,0,
2003,Manitoba,Total aquaculture,Tonnes,units,46,
2003,Manitoba,Total aquaculture,Dollars,thousands,263,
2003,Manitoba,Total finfish,Tonnes,units,46,
2003,Manitoba,Total finfish,Dollars,thousands,263,
2003,Manitoba,Total shellfish,Tonnes,units,0,
2003,Manitoba,Total shellfish,Dollars,thousands,0,
2003,Saskatchewan,Total aquaculture,Tonnes,units,,x
2003,Saskatchewan,Total aquaculture,Dollars,thousands,,x
2003,Saskatchewan,Total finfish,Tonnes,units,,x
2003,Saskatchewan,Total finfish,Dollars,thousands,,x
2003,Saskatchewan,Total shellfish,Tonnes,units,,x
2003,Saskatchewan,Total shellfish,Dollars,thousands,,x
2003,Alberta,Total aquaculture,Tonnes,units,,x
2003,Alberta,Total aquaculture,Dollars,thousands,,x
2003,Alberta,Total finfish,Tonnes,units,,x
2003,Alberta,Total finfish,Dollars,thousands,,x
2003,Alberta,Total shellfish,Tonnes,units,,x
2003,Alberta,Total shellfish,Dollars,thousands,,x
2003,British Columbia,Total aquaculture,Tonnes,units,75126,
2003,British Columbia,Total aquaculture,Dollars,thousands,273531,
2003,British Columbia,Total finfish,Tonnes,units,65547,
2003,British Columbia,Total finfish,Dollars,thousands,256398,
2003,British Columbia,Total shellfish,Tonnes,units,9579,
2003,British Columbia,Total shellfish,Dollars,thousands,17133,
2004,Canada,Total aquaculture,Tonnes,units,141934,
2004,Canada,Total aquaculture,Dollars,thousands,536677,
2004,Canada,Total finfish,Tonnes,units,100212,
2004,Canada,Total finfish,Dollars,thousands,477087,
2004,Canada,Total shellfish,Tonnes,units,38387,
2004,Canada,Total shellfish,Dollars,thousands,59590,
2004,Newfoundland and Labrador,Total aquaculture,Tonnes,units,5629,
2004,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,22055,
2004,Newfoundland and Labrador,Total finfish,Tonnes,units,0,
2004,Newfoundland and Labrador,Total finfish,Dollars,thousands,17000,
2004,Newfoundland and Labrador,Total shellfish,Tonnes,units,2300,
2004,Newfoundland and Labrador,Total shellfish,Dollars,thousands,5055,
2004,Prince Edward Island,Total aquaculture,Tonnes,units,20931,
2004,Prince Edward Island,Total aquaculture,Dollars,thousands,33175,
2004,Prince Edward Island,Total finfish,Tonnes,units,20,
2004,Prince Edward Island,Total finfish,Dollars,thousands,3256,
2004,Prince Edward Island,Total shellfish,Tonnes,units,20911,
2004,Prince Edward Island,Total shellfish,Dollars,thousands,29919,
2004,Nova Scotia,Total aquaculture,Tonnes,units,5220,
2004,Nova Scotia,Total aquaculture,Dollars,thousands,24546,
2004,Nova Scotia,Total finfish,Tonnes,units,2474,
2004,Nova Scotia,Total finfish,Dollars,thousands,19051,
2004,Nova Scotia,Total shellfish,Tonnes,units,2746,
2004,Nova Scotia,Total shellfish,Dollars,thousands,5495,
2004,New Brunswick,Total aquaculture,Tonnes,units,37284,
2004,New Brunswick,Total aquaculture,Dollars,thousands,181005,
2004,New Brunswick,Total finfish,Tonnes,units,35400,
2004,New Brunswick,Total finfish,Dollars,thousands,179000,
2004,New Brunswick,Total shellfish,Tonnes,units,1884,
2004,New Brunswick,Total shellfish,Dollars,thousands,2005,
2004,Quebec,Total aquaculture,Tonnes,units,974,
2004,Quebec,Total aquaculture,Dollars,thousands,3013,
2004,Quebec,Total finfish,Tonnes,units,333,
2004,Quebec,Total finfish,Dollars,thousands,1831,
2004,Quebec,Total shellfish,Tonnes,units,641,
2004,Quebec,Total shellfish,Dollars,thousands,1182,
2004,Ontario,Total aquaculture,Tonnes,units,4485,
2004,Ontario,Total aquaculture,Dollars,thousands,16350,
2004,Ontario,Total finfish,Tonnes,units,4485,
2004,Ontario,Total finfish,Dollars,thousands,16350,
2004,Ontario,Total shellfish,Tonnes,units,0,
2004,Ontario,Total shellfish,Dollars,thousands,0,
2004,Manitoba,Total aquaculture,Tonnes,units,56,
2004,Manitoba,Total aquaculture,Dollars,thousands,298,
2004,Manitoba,Total finfish,Tonnes,units,56,
2004,Manitoba,Total finfish,Dollars,thousands,298,
2004,Manitoba,Total shellfish,Tonnes,units,0,
2004,Manitoba,Total shellfish,Dollars,thousands,0,
2004,Saskatchewan,Total aquaculture,Tonnes,units,,x
2004,Saskatchewan,Total aquaculture,Dollars,thousands,,x
2004,Saskatchewan,Total finfish,Tonnes,units,,x
2004,Saskatchewan,Total finfish,Dollars,thousands,,x
2004,Saskatchewan,Total shellfish,Tonnes,units,,x
2004,Saskatchewan,Total shellfish,Dollars,thousands,,x
2004,Alberta,Total aquaculture,Tonnes,units,,x
2004,Alberta,Total aquaculture,Dollars,thousands,,x
2004,Alberta,Total finfish,Tonnes,units,,x
2004,Alberta,Total finfish,Dollars,thousands,,x
2004,Alberta,Total shellfish,Tonnes,units,,x
2004,Alberta,Total shellfish,Dollars,thousands,,x
2004,British Columbia,Total aquaculture,Tonnes,units,65666,
2004,British Columbia,Total aquaculture,Dollars,thousands,241828,
2004,British Columbia,Total finfish,Tonnes,units,55761,
2004,British Columbia,Total finfish,Dollars,thousands,225894,
2004,British Columbia,Total shellfish,Tonnes,units,9905,
2004,British Columbia,Total shellfish,Dollars,thousands,15934,
2005,Canada,Total aquaculture,Tonnes,units,154834,
2005,Canada,Total aquaculture,Dollars,thousands,709057,
2005,Canada,Total finfish,Tonnes,units,116503,
2005,Canada,Total finfish,Dollars,thousands,647373,
2005,Canada,Total shellfish,Tonnes,units,38335,
2005,Canada,Total shellfish,Dollars,thousands,61684,
2005,Newfoundland and Labrador,Total aquaculture,Tonnes,units,8148,
2005,Newfoundland and Labrador,Total aquaculture,Dollars,thousands,33465,
2005,Newfoundland and Labrador,Total finfish,Tonnes,units,4991,
2005,Newfoundland and Labrador,Total finfish,Dollars,thousands,26505,
2005,Newfoundland and Labrador,Total shellfish,Tonnes,units,3157,
2005,Newfoundland and Labrador,Total shellfish,Dollars,thousands,6960,
2005,Prince Edward Island,Total aquaculture,Tonnes,units,18921,
2005,Prince Edward Island,Total aquaculture,Dollars,thousands,28800,
2005,Prince Edward Island,Total finfish,Tonnes,units,10,
2005,Prince Edward Island,Total finfish,Dollars,thousands,1900,
2005,Prince Edward Island,Total shellfish,Tonnes,units,18911,
2005,Prince Edward Island,Total shellfish,Dollars,thousands,26900,
2005,Nova Scotia,Total aquaculture,Tonnes,units,9122,
2005,Nova Scotia,Total aquaculture,Dollars,thousands,43901,
2005,Nova Scotia,Total finfish,Tonnes,units,6210,
2005,Nova Scotia,Total finfish,Dollars,thousands,38596,
2005,Nova Scotia,Total shellfish,Tonnes,units,2912,
2005,Nova Scotia,Total shellfish,Dollars,thousands,5305,
2005,New Brunswick,Total aquaculture,Tonnes,units,37657,
2005,New Brunswick,Total aquaculture,Dollars,thousands,230500,
2005,New Brunswick,Total finfish,Tonnes,units,35300,
2005,New Brunswick,Total finfish,Dollars,thousands,228000,
2005,New Brunswick,Total shellfish,Tonnes,units,2357,
2005,New Brunswick,Total shellfish,Dollars,thousands,2500,
2005,Quebec,Total aquaculture,Tonnes,units,1215,
2005,Quebec,Total aquaculture,Dollars,thousands,4024,
2005,Quebec,Total finfish,Tonnes,units,300,
