REF_DATE,GEO,Trade flow detail,Product,SCALAR_FACTOR,VALUE,STATUS
2007,Nova Scotia,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,34.8,
2007,Nova Scotia,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,206.0,
2007,Nova Scotia,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,6.7,
2007,New Brunswick,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,427.3,
2007,New Brunswick,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,310.3,
2007,New Brunswick,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,5.8,
2007,New Brunswick,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,10.0,
2007,New Brunswick,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,20.1,
2007,New Brunswick,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,53.5,
2007,New Brunswick,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,9.9,
2007,New Brunswick,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,New Brunswick,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.1,
2007,New Brunswick,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,New Brunswick,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.3,
2007,New Brunswick,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.1,
2007,New Brunswick,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,47.2,
2007,New Brunswick,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,219.4,
2007,New Brunswick,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,209.6,
